epsilon,n_respondents,seed,bias,demographic_imbalance,fallback_cells,cell_proportion_min,cell_proportion_max,cell_proportion_std,raw_frequencies_l1,rr_debiased_l1,poststratified_l1
2.0,250,1022,moderate,0.5559999999999999,0,0.08,0.312,0.08341595903795762,0.192,0.20076498799398115,0.15678879391261974
2.0,250,1023,moderate,0.38400000000000006,0,0.108,0.244,0.04662855586678856,0.184,0.1890085645679893,0.14827486360537478
2.0,250,1024,moderate,0.35200000000000004,0,0.104,0.22,0.04318435930853772,0.216,0.3009791021937138,0.21897553379850673
2.0,250,1025,moderate,0.41600000000000004,0,0.088,0.256,0.05771962885843563,0.168,0.20692771478577804,0.08802902573966756
2.0,250,1026,moderate,0.384,0,0.072,0.252,0.05555377774933243,0.0890000000000001,0.04611990395185023,0.1507154365298414
2.0,250,1027,moderate,0.35600000000000004,0,0.116,0.292,0.06038395666252933,0.13600000000000004,0.13638917422982616,0.053188962830298225
2.0,250,1028,moderate,0.228,0,0.132,0.204,0.021374959389175188,0.06400000000000003,0.07760705709986634,0.09338003181330781
2.0,250,1029,moderate,0.336,0,0.112,0.22,0.03991101212558871,0.16,0.195171291359786,0.16096238031436091
2.0,250,1000,strong,0.804,0,0.032,0.392,0.12467914376065024,0.12800000000000006,0.20692771478577804,0.15219803091458148
2.0,250,1001,strong,0.9,0,0.052,0.376,0.13297953058856674,0.224,0.3362483724716898,0.14211069182980168
2.0,250,1002,strong,0.804,0,0.032,0.384,0.12474329195948329,0.21600000000000003,0.23603425827195723,0.39805016752214145
2.0,250,1003,strong,0.8360000000000001,0,0.032,0.368,0.1274711296289826,0.21600000000000003,0.3362483724716897,0.23382633062906705
2.0,250,1004,strong,0.8680000000000001,0,0.036,0.428,0.1376113690393671,0.14400000000000004,0.1599020210818101,0.21967738026133032
2.0,250,1005,strong,0.812,0,0.036,0.352,0.12072374340709544,0.263,0.4420561833056175,0.2195333156091804
2.0,250,1006,strong,0.804,0,0.032,0.388,0.12578641509408806,0.25600000000000006,0.29481637540191724,0.23887753928854694
2.0,250,1007,strong,0.756,0,0.036,0.356,0.11842672371086219,0.24000000000000005,0.2713035285499332,0.41073759811559485
2.0,250,1008,strong,0.78,0,0.02,0.396,0.12740835486297156,0.12800000000000003,0.1128763273778422,0.215193881033322
2.0,250,1009,strong,0.7480000000000001,0,0.04,0.376,0.11608426058495422,0.168,0.25395340848974596,0.10755244120313653
2.0,250,1010,strong,0.7799999999999999,0,0.036,0.376,0.11889864965124242,0.14400000000000004,0.21868413821177005,0.19578827543631067
2.0,250,1011,strong,0.836,0,0.036,0.376,0.12542549802793512,0.11200000000000007,0.0893634805258583,0.13692495778733083
2.0,250,1012,strong,0.788,0,0.036,0.408,0.12757568559704296,0.21600000000000003,0.3480047958976817,0.22518414845482299
2.0,250,1013,strong,0.852,0,0.036,0.396,0.12979299758547155,0.18400000000000002,0.27746625534173,0.08026527372193004
2.0,250,1014,strong,0.7560000000000001,0,0.048,0.388,0.11795290962451452,0.22400000000000003,0.24779068169794927,0.1531780241966802
2.0,250,1015,strong,0.972,0,0.036,0.492,0.16032744271923285,0.07200000000000001,0.12463275080383412,0.2847422974021956
2.0,250,1016,strong,0.6920000000000001,0,0.036,0.348,0.10697455564551579,0.192,0.20076498799398115,0.1348470875793264
2.0,250,1017,strong,0.804,0,0.028,0.392,0.12713597270464233,0.20800000000000005,0.23044056163776194,0.16278269692539188
