method,bias,epsilon,n_respondents,n_repetitions,l1_mean,l1_std,max_abs_error_mean,max_abs_error_std
raw_frequencies,none,2.0,1000,30,0.10116666666666671,0.032430385212906004,0.050583333333333334,0.016215192606452985
raw_frequencies,none,2.0,2000,30,0.09236666666666671,0.017590129154675387,0.04618333333333333,0.008795064577337688
raw_frequencies,strong,0.25,250,30,0.27183333333333337,0.06494829950965156,0.13591666666666666,0.03247414975482578
raw_frequencies,strong,0.25,500,30,0.2655333333333334,0.04159221854720136,0.13276666666666667,0.020796109273600684
raw_frequencies,strong,0.25,1000,30,0.27486666666666676,0.030796029002110814,0.13743333333333335,0.015398014501055407
raw_frequencies,strong,0.25,2000,30,0.26376666666666676,0.019937286733626793,0.13188333333333332,0.009968643366813398
raw_frequencies,strong,0.5,250,30,0.2346333333333334,0.07006769304890381,0.11731666666666668,0.0350338465244519
raw_frequencies,strong,0.5,500,30,0.2329666666666667,0.042067665798652606,0.11648333333333333,0.021033832899326307
raw_frequencies,strong,0.5,1000,30,0.2346666666666667,0.025949996124288242,0.11733333333333333,0.012974998062144125
raw_frequencies,strong,0.5,2000,30,0.22573333333333337,0.016364244735004623,0.11286666666666666,0.008182122367502317
raw_frequencies,strong,1.0,250,30,0.2030666666666667,0.05098812122197803,0.10153333333333335,0.025494060610989015
raw_frequencies,strong,1.0,500,30,0.20893333333333336,0.0393892452793673,0.1044666666666667,0.019694622639683666
raw_frequencies,strong,1.0,1000,30,0.1816333333333334,0.021446779893869655,0.0908166666666667,0.010723389946934824
raw_frequencies,strong,1.0,2000,30,0.18293333333333336,0.019078663535448445,0.09146666666666668,0.009539331767724233
raw_frequencies,strong,2.0,250,30,0.18820000000000003,0.05671003073713589,0.09410000000000004,0.028355015368567937
raw_frequencies,strong,2.0,500,30,0.17876666666666668,0.03736648261461742,0.08938333333333337,0.018683241307308706
raw_frequencies,strong,2.0,1000,30,0.1894,0.03751652509458217,0.09470000000000003,0.018758262547291085
raw_frequencies,strong,2.0,2000,30,0.1849,0.0207420113413034,0.09245000000000002,0.010371005670651702
rr_debiased,moderate,0.25,250,30,0.6685220873772627,0.2517976173712566,0.33426104368863135,0.1258988086856283
rr_debiased,moderate,0.25,500,30,0.5466366643124769,0.2861240479634046,0.27331833215623846,0.14306202398170234
rr_debiased,moderate,0.25,1000,30,0.36285348026220504,0.1585619689004489,0.18142674013110247,0.07928098445022447
rr_debiased,moderate,0.25,2000,30,0.3365976232680633,0.14541497827060626,0.16829881163403165,0.07270748913530314
rr_debiased,moderate,0.5,250,30,0.3725737078226933,0.19691579958967914,0.18628685391134667,0.09845789979483958
rr_debiased,moderate,0.5,500,30,0.27225771199627846,0.10738825880313929,0.13612885599813923,0.05369412940156965
rr_debiased,moderate,0.5,1000,30,0.23572784019772497,0.11002211979658293,0.1178639200988625,0.05501105989829147
rr_debiased,moderate,0.5,2000,30,0.18219324948038287,0.09364252519267935,0.09109662474019144,0.04682126259633967
rr_debiased,moderate,1.0,250,30,0.2352659064877746,0.13403076810912115,0.1176329532438873,0.06701538405456058
rr_debiased,moderate,1.0,500,30,0.17072580702252954,0.09320635970088388,0.08536290351126477,0.046603179850441954
rr_debiased,moderate,1.0,1000,30,0.14869538212129244,0.04869388054675869,0.07434769106064622,0.024346940273379334
rr_debiased,moderate,1.0,2000,30,0.12143757052995816,0.05396653011893774,0.060718785264979064,0.026983265059468874
rr_debiased,moderate,2.0,250,30,0.1668887860214891,0.07127196659577303,0.08344439301074455,0.03563598329788651
rr_debiased,moderate,2.0,500,30,0.13189480978934096,0.05798065254726889,0.06594740489467048,0.02899032627363446
rr_debiased,moderate,2.0,1000,30,0.12896553890090098,0.05348701833754309,0.06448276945045049,0.026743509168771544
rr_debiased,moderate,2.0,2000,30,0.12350765947665149,0.025028495417174362,0.06175382973832574,0.01251424770858716
rr_debiased,none,0.25,250,30,0.6243720212541601,0.2642721984613337,0.31218601062708007,0.13213609923066688
rr_debiased,none,0.25,500,30,0.4762500445672802,0.26091107426694593,0.23812502228364008,0.13045553713347297
rr_debiased,none,0.25,1000,30,0.37995978029348537,0.19188433933728088,0.18997989014674269,0.09594216966864043
rr_debiased,none,0.25,2000,30,0.24366538385325057,0.13659077501241457,0.12183269192662527,0.06829538750620728
rr_debiased,none,0.5,250,30,0.30808745557971057,0.14340190998265273,0.15404372778985528,0.07170095499132635
rr_debiased,none,0.5,500,30,0.2707496690111583,0.11933983134297217,0.13537483450557916,0.05966991567148608
rr_debiased,none,0.5,1000,30,0.17170611437010122,0.10415875505372883,0.08585305718505061,0.052079377526864416
rr_debiased,none,0.5,2000,30,0.15047548073833064,0.08461100086594624,0.07523774036916532,0.042305500432973105
rr_debiased,none,1.0,250,30,0.22431348049080171,0.10060455723816111,0.11215674024540086,0.050302278619080536
rr_debiased,none,1.0,500,30,0.11053425778428758,0.06444933214222298,0.055267128892143795,0.0322246660711115
rr_debiased,none,1.0,1000,30,0.08070554019016986,0.04817065381993117,0.040352770095084915,0.024085326909965583
rr_debiased,none,1.0,2000,30,0.06637327392378603,0.04086324261514854,0.033186636961893015,0.02043162130757427
rr_debiased,none,2.0,250,30,0.10539347941342699,0.06764206864015769,0.052696739706713486,0.03382103432007883
rr_debiased,none,2.0,500,30,0.07030955231778499,0.0326201330736947,0.0351547761588925,0.01631006653684735
rr_debiased,none,2.0,1000,30,0.05752676999986813,0.033372903663871564,0.028763384999934066,0.016686451831935782
rr_debiased,none,2.0,2000,30,0.03528067116384215,0.02036191353695157,0.01764033558192108,0.010180956768475788
rr_debiased,strong,0.25,250,30,0.6713716809296003,0.3129511304913332,0.3356858404648001,0.1564755652456666
rr_debiased,strong,0.25,500,30,0.5306311657606868,0.2717393195203623,0.2653155828803434,0.13586965976018114
rr_debiased,strong,0.25,1000,30,0.45627854367439,0.225779558236923,0.228139271837195,0.1128897791184615
rr_debiased,strong,0.25,2000,30,0.38330663968271395,0.17630446038653666,0.19165331984135697,0.08815223019326833
rr_debiased,strong,0.5,250,30,0.4700947635300138,0.19505612113282497,0.2350473817650069,0.09752806056641249
rr_debiased,strong,0.5,500,30,0.34268741175229767,0.14571529181115664,0.17134370587614883,0.07285764590557833
rr_debiased,strong,0.5,1000,30,0.36065843188934543,0.15936181477236658,0.1803292159446727,0.07968090738618329
rr_debiased,strong,0.5,2000,30,0.24314589985265872,0.08881642053331137,0.12157294992632936,0.04440821026665568
rr_debiased,strong,1.0,250,30,0.32316479209085464,0.13170039361675606,0.16158239604542732,0.06585019680837802
rr_debiased,strong,1.0,500,30,0.28447526116270605,0.13336862761420226,0.14223763058135303,0.06668431380710112
rr_debiased,strong,1.0,1000,30,0.24032258544796728,0.07699445761366774,0.12016129272398363,0.03849722880683387
rr_debiased,strong,1.0,2000,30,0.2323183032249313,0.04555780476109473,0.11615915161246564,0.022778902380547358
rr_debiased,strong,2.0,250,30,0.2428859082658865,0.0889752889550672,0.12144295413294327,0.044487644477533596
rr_debiased,strong,2.0,500,30,0.23745648034951708,0.061000483367368456,0.11872824017475851,0.030500241683684225
rr_debiased,strong,2.0,1000,30,0.24412793746020586,0.05490094107727322,0.12206396873010292,0.027450470538636605
rr_debiased,strong,2.0,2000,30,0.23366409424394974,0.03223314295696565,0.11683204712197487,0.016116571478482822
