epsilon,n_respondents,bias,seed,method,l1_error,max_abs_error
0.25,250,moderate,1009,poststratified,0.33295639756298295,0.16647819878149145
0.25,250,moderate,1010,raw_frequencies,0.26500000000000007,0.1325
0.25,250,moderate,1010,rr_debiased,0.07333194650801822,0.036665973254009054
0.25,250,moderate,1010,poststratified,0.27855613397108125,0.13927806698554066
0.25,250,moderate,1011,raw_frequencies,0.20900000000000002,0.10449999999999998
0.25,250,moderate,1011,rr_debiased,0.6852986074207681,0.34264930371038405
0.25,250,moderate,1011,poststratified,1.1582581630673154,0.5791290815336577
0.25,250,moderate,1012,raw_frequencies,0.1690000000000001,0.08450000000000002
0.25,250,moderate,1012,rr_debiased,0.37499999999999994,0.1875
0.25,250,moderate,1012,poststratified,0.39819362939143027,0.1990968146957151
0.25,250,moderate,1013,raw_frequencies,0.329,0.16449999999999998
0.25,250,moderate,1013,rr_debiased,0.7233309063890327,0.36166545319451626
0.25,250,moderate,1013,poststratified,0.6732824586163847,0.3366412293081924
0.25,250,moderate,1014,raw_frequencies,0.22500000000000003,0.11249999999999999
0.25,250,moderate,1014,rr_debiased,0.4677216759746718,0.23386083798733592
0.25,250,moderate,1014,poststratified,0.4069480986754321,0.20347404933771596
0.25,250,moderate,1015,raw_frequencies,0.2970000000000001,0.14850000000000002
0.25,250,moderate,1015,rr_debiased,0.5191644130755305,0.2595822065377653
0.25,250,moderate,1015,poststratified,0.7314064898692221,0.3657032449346111
0.25,250,moderate,1016,raw_frequencies,0.2250000000000001,0.11249999999999999
0.25,250,moderate,1016,rr_debiased,0.3749999999999999,0.1875
0.25,250,moderate,1016,poststratified,0.09834701513531094,0.049173507567655456
0.25,250,moderate,1017,raw_frequencies,0.26500000000000007,0.1325
0.25,250,moderate,1017,rr_debiased,0.4983298662700469,0.24916493313502336
0.25,250,moderate,1017,poststratified,0.411560477013682,0.20578023850684096
0.25,250,moderate,1018,raw_frequencies,0.2730000000000001,0.1365
0.25,250,moderate,1018,rr_debiased,0.5741644130755307,0.2870822065377654
0.25,250,moderate,1018,poststratified,0.599923997648545,0.29996199882427244
0.25,250,moderate,1019,raw_frequencies,0.329,0.16449999999999998
0.25,250,moderate,1019,rr_debiased,0.7233309063890327,0.36166545319451626
0.25,250,moderate,1019,poststratified,0.33285478706334776,0.16642739353167396
0.25,250,moderate,1020,raw_frequencies,0.27999999999999997,0.14
0.25,250,moderate,1020,rr_debiased,1.2149999999999999,0.6074999999999999
0.25,250,moderate,1020,poststratified,1.2149999999999999,0.6074999999999999
0.25,250,moderate,1021,raw_frequencies,0.29700000000000004,0.14850000000000002
0.25,250,moderate,1021,rr_debiased,0.7849999999999999,0.3925
0.25,250,moderate,1021,poststratified,0.7849999999999999,0.3925
0.25,250,moderate,1022,raw_frequencies,0.2250000000000001,0.11249999999999999
0.25,250,moderate,1022,rr_debiased,0.3749999999999999,0.1875
0.25,250,moderate,1022,poststratified,0.3910952799132929,0.19554763995664648
0.25,250,moderate,1023,raw_frequencies,0.31300000000000006,0.15649999999999997
0.25,250,moderate,1023,rr_debiased,0.7849999999999999,0.3925
0.25,250,moderate,1023,poststratified,0.8422086179947332,0.4211043089973666
0.25,250,moderate,1024,raw_frequencies,0.35300000000000004,0.1765
0.25,250,moderate,1024,rr_debiased,0.9928528131383286,0.49642640656916437
0.25,250,moderate,1024,poststratified,0.7849999999999999,0.3925
0.25,250,moderate,1025,raw_frequencies,0.337,0.16849999999999998
0.25,250,moderate,1025,rr_debiased,0.8400000000000001,0.42000000000000004
0.25,250,moderate,1025,poststratified,0.8211080134515814,0.4105540067257907
0.25,250,moderate,1026,raw_frequencies,0.2730000000000001,0.1365
0.25,250,moderate,1026,rr_debiased,0.8400000000000001,0.42000000000000004
0.25,250,moderate,1026,poststratified,0.8323981300820821,0.41619906504104104
0.25,250,moderate,1027,raw_frequencies,0.31300000000000006,0.15649999999999997
0.25,250,moderate,1027,rr_debiased,0.8400000000000001,0.42000000000000004
0.25,250,moderate,1027,poststratified,0.8399999999999999,0.42000000000000004
0.25,250,moderate,1028,raw_frequencies,0.32100000000000006,0.16049999999999998
0.25,250,moderate,1028,rr_debiased,0.7850000000000001,0.3925
0.25,250,moderate,1028,poststratified,0.7849999999999998,0.3925
0.25,250,moderate,1029,raw_frequencies,0.313,0.15649999999999997
0.25,250,moderate,1029,rr_debiased,0.5383319465080183,0.2691659732540091
0.25,250,moderate,1029,poststratified,0.6278436348772934,0.31392181743864667
0.25,250,strong,1000,raw_frequencies,0.21700000000000003,0.10849999999999999
0.25,250,strong,1000,rr_debiased,0.6653093529596628,0.3326546764798314
0.25,250,strong,1000,poststratified,1.0129945229835262,0.506497261491763
0.25,250,strong,1001,raw_frequencies,0.28,0.14
0.25,250,strong,1001,rr_debiased,0.8470971177812716,0.42354855889063575
0.25,250,strong,1001,poststratified,0.84,0.42000000000000004
0.25,250,strong,1002,raw_frequencies,0.21700000000000003,0.10849999999999999
0.25,250,strong,1002,rr_debiased,0.9729640294394946,0.48648201471974734
0.25,250,strong,1002,poststratified,0.6999047195321001,0.34995235976605005
0.25,250,strong,1003,raw_frequencies,0.25700000000000006,0.1285
0.25,250,strong,1003,rr_debiased,0.9729640294394947,0.48648201471974734
0.25,250,strong,1003,poststratified,1.2149999999999999,0.6074999999999999
0.25,250,strong,1004,raw_frequencies,0.23300000000000004,0.11649999999999999
0.25,250,strong,1004,rr_debiased,0.5278528131383285,0.26392640656916433
0.25,250,strong,1004,poststratified,0.8479197642608918,0.4239598821304459
