config_seed,scenario,epsilon,sample_size,method,n_rows,n_failures,n_skipped,mean_runtime_sec,std_runtime_sec,total_runtime_sec
123,privacy_noise_sparse,1.0,500,hierarchical_rr_mrp_poststrat,20,0,0,0.5490959099995962,0.04197355966777677,10.981918199991924
123,privacy_noise_sparse,1.0,500,neural_rr_mrp,20,0,0,0.06689305000018067,0.011776279573730258,1.3378610000036133
123,privacy_noise_sparse,2.0,500,baseline_rr_debias,20,0,0,0.000844304999736778,0.0001092764165172931,0.01688609999473556
123,privacy_noise_sparse,2.0,500,mrp_rr_poststrat,20,0,0,0.1810355849998814,0.01027162824276244,3.620711699997628
123,privacy_noise_sparse,2.0,500,hierarchical_rr_mrp_poststrat,20,0,0,0.5528791749995434,0.03158735131054641,11.05758349999087
123,privacy_noise_sparse,2.0,500,neural_rr_mrp,20,0,0,0.0749412900000607,0.01573363624244809,1.4988258000012138
123,simple_linear,0.5,500,baseline_rr_debias,20,0,0,0.0007884000004196423,0.00012931479811079273,0.015768000008392846
123,simple_linear,0.5,500,mrp_rr_poststrat,20,0,0,0.17807122000049275,0.008599693540130387,3.561424400009855
123,simple_linear,0.5,500,hierarchical_rr_mrp_poststrat,20,0,0,0.5546931650002079,0.024753292144954753,11.093863300004159
123,simple_linear,0.5,500,neural_rr_mrp,20,0,0,0.08770094499959669,0.03993114604862877,1.7540188999919337
123,simple_linear,1.0,500,baseline_rr_debias,20,0,0,0.000805959999706829,0.00014378562387702223,0.01611919999413658
123,simple_linear,1.0,500,mrp_rr_poststrat,20,0,0,0.17284505000043282,0.006287680884646789,3.4569010000086564
123,simple_linear,1.0,500,hierarchical_rr_mrp_poststrat,20,0,0,0.537353940000321,0.04252119228716367,10.74707880000642
123,simple_linear,1.0,500,neural_rr_mrp,20,0,0,0.07661502500031929,0.02623922761715054,1.5323005000063858
123,simple_linear,2.0,500,baseline_rr_debias,20,0,0,0.0007781049998811795,0.00013212404247576746,0.01556209999762359
123,simple_linear,2.0,500,mrp_rr_poststrat,20,0,0,0.17054497500030266,0.0057896412003954935,3.410899500006053
123,simple_linear,2.0,500,hierarchical_rr_mrp_poststrat,20,0,0,0.5381308449994322,0.04035034181029795,10.762616899988643
123,simple_linear,2.0,500,neural_rr_mrp,20,0,0,0.07759795499969187,0.013855566067975573,1.5519590999938373
123,nonlinear_interaction,0.5,1000,baseline_rr_debias,20,0,0,0.0008446949987046537,0.00011827296557986282,0.016893899974093074
123,nonlinear_interaction,0.5,1000,mrp_rr_poststrat,20,0,0,0.25987227500027077,0.009766868345804229,5.197445500005415
123,nonlinear_interaction,0.5,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.792278035000163,0.052676576213959075,15.845560700003261
123,nonlinear_interaction,0.5,1000,neural_rr_mrp,20,0,0,0.0749543600004472,0.017090698709767656,1.499087200008944
123,nonlinear_interaction,1.0,1000,baseline_rr_debias,20,0,0,0.0008296899999550078,0.00010628420506243112,0.016593799999100156
123,nonlinear_interaction,1.0,1000,mrp_rr_poststrat,20,0,0,0.26052652000053056,0.013227937477176072,5.210530400010612
123,nonlinear_interaction,1.0,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.8165454449997924,0.03333617984808791,16.330908899995848
123,nonlinear_interaction,1.0,1000,neural_rr_mrp,20,0,0,0.08546222499971919,0.018562646066990648,1.7092444999943837
123,nonlinear_interaction,2.0,1000,baseline_rr_debias,20,0,0,0.0007858450004277984,0.00013242725265294762,0.015716900008555967
123,nonlinear_interaction,2.0,1000,mrp_rr_poststrat,20,0,0,0.25745185000032506,0.012539513233656175,5.149037000006501
