epsilon,mean_n_effective,mean_overall_l1,mean_overall_mae,mean_p90_age_l1_major,mean_p90_region_l1_major,mean_runtime_sec,mean_weighted_age_l1,mean_weighted_region_l1,mean_winner_correct,mean_worst_age_l1,mean_worst_age_l1_major,mean_worst_region_l1,mean_worst_region_l1_major,method,n_rows,n_sample,preset,scenario,scenario_label,std_overall_l1,std_overall_mae,std_p90_age_l1_major,std_p90_region_l1_major,std_runtime_sec,std_weighted_age_l1,std_weighted_region_l1,std_winner_correct,std_worst_age_l1,std_worst_age_l1_major,std_worst_region_l1,std_worst_region_l1_major
2.0,406.0,0.12399930183230158,0.024799860366460317,0.5967099243014793,0.6484018264840182,0.001187631999982841,0.3749179468434795,0.4318149311923675,0.0,0.5967099243014793,0.5967099243014793,0.7608998055366588,0.6613847770838781,baseline_rr_debias,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,406.0,0.08541956439316274,0.01708391287863255,0.4126716227405825,0.5786933686457953,0.0026138000002902118,0.2780899138480425,0.3849156380146742,0.0,0.4126716227405825,0.4126716227405825,0.8274061004905141,0.8274061004905141,mrp_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,406.0,0.20198897880174138,0.04039779576034828,0.4522896655490011,0.6288835687594494,0.0027344759996594803,0.3246345273783993,0.41788739400300945,0.0,0.4522896655490011,0.4522896655490011,0.9259290891415711,0.9259290891415711,mrp_misreport_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,406.0,0.2222819064191882,0.044456381283837644,0.4740477862310896,0.6401106370480033,0.0033606890001465217,0.33715041030820536,0.42560515661403475,0.0,0.4740477862310896,0.4740477862310896,0.9430274987600897,0.9430274987600897,mrp_learned_misreport_rr_poststrat,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,406.0,0.11572205828872832,0.023144411657745664,0.3345147432575025,0.5723238409381269,0.013524760999644059,0.26525925737109224,0.38043737483410067,0.0,0.3345147432575025,0.3345147432575025,0.75373495579862,0.75373495579862,neural_rr_mrp,1,500,full,nonresponse,nonresponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,500.0,0.20959999999999998,0.04192,0.4230372181472425,0.7122803919837557,0.0003360850000717619,0.31892391002047377,0.4855917064485844,0.0,0.4230372181472425,0.4230372181472425,1.1386643452306928,1.1386643452306928,raw_reported_distribution,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,500.0,0.8073754132220187,0.16147508264440374,1.4694376528117359,1.7173308925865456,0.0010233600000901788,1.0496072588258136,1.173980993342386,0.0,1.4694376528117359,1.4694376528117359,1.7759336099585061,1.7759336099585061,baseline_rr_debias,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,500.0,0.18341325514614581,0.036682651029229164,0.46596377701805963,0.6779570030164421,0.0024433600001430023,0.32543134849369526,0.41043743924796583,0.0,0.46596377701805963,0.46596377701805963,0.8330635282206027,0.8330635282206027,mrp_rr_poststrat,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,500.0,0.21388802967290424,0.04277760593458085,0.46363708879997434,0.633656941996611,0.5687514930000361,0.3315987641287909,0.4224822912960879,1.0,0.46363708879997434,0.46363708879997434,0.9373896895469497,0.9373896895469497,mrp_misreport_rr_poststrat,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,500.0,0.23168522363848448,0.0463370447276969,0.4834585914057807,0.6443272502926515,0.0031000130002212245,0.34231550070362143,0.4292241141069402,0.0,0.4834585914057807,0.4834585914057807,0.9511723166542815,0.9511723166542815,mrp_learned_misreport_rr_poststrat,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,500.0,0.395797614934521,0.0791595229869042,0.628278096334477,0.8536204805386832,0.011320053999952506,0.43467183495490164,0.5073388602902287,0.0,0.628278096334477,0.628278096334477,0.8835828206825037,0.8835828206825037,neural_rr_mrp,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,0.19760000000000003,0.039520000000000007,0.4580287998009518,0.6697272004943939,0.00031533099991065683,0.28920310404993954,0.4337594221394579,0.0,0.4580287998009518,0.4580287998009518,0.9526178336027857,0.9526178336027857,raw_reported_distribution,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
