avg_age_l1,avg_region_l1,epsilon,learned_honesty,method,n_effective,n_sample,neural_final_loss,overall_l1,overall_linf,overall_mae,p90_age_l1_major,p90_region_l1_major,preset,runtime_sec,scenario,scenario_label,skipped,trial,weighted_age_l1,weighted_region_l1,winner_correct,worst_age_l1,worst_age_l1_major,worst_region_l1,worst_region_l1_major
0.33277436280991884,0.4131114173405343,2.0,,mrp_misreport_rr_poststrat,406,500,,0.20447044637087966,0.07546271089411087,0.040894089274175933,0.4539658142416162,0.6246020463025874,full,1.3325390370000605,shy_privacy_helps,privacy_helps,0,0,0.3266952019581873,0.4185492329250586,0,0.4539658142416162,0.4539658142416162,0.935396787706696,0.935396787706696
0.3409007495834726,0.41637747755960614,2.0,0.7962580629292758,mrp_learned_misreport_rr_poststrat,406,500,,0.22026361332541428,0.08028605201002388,0.04405272266508285,0.4715001932672015,0.6339634475695657,full,0.002971895999962726,shy_privacy_helps,privacy_helps,0,0,0.33619299409587894,0.4242043760540463,1,0.4715001932672015,0.4715001932672015,0.9470325710350619,0.9470325710350619
0.26309911114037693,0.38319708953551307,2.0,,neural_rr_mrp,406,500,1.5778942108154297,0.09460184818428348,0.03799825523513761,0.018920369636856695,0.35278718896165795,0.5992339344126005,full,0.014623776999997062,shy_privacy_helps,privacy_helps,0,0,0.24845507567258157,0.36926397400294575,0,0.35278718896165795,0.35278718896165795,0.8400970324487927,0.8400970324487927
0.31443993692278815,0.47594785948387974,0.2,,raw_reported_distribution,1000,1000,,0.1656,0.0692,0.03312,0.5246245197345442,0.6356846473029045,full,0.0006260820000534295,no_bias,no_bias,0,0,0.3091196488237757,0.4702321960112277,0,0.5246245197345442,0.5246245197345442,0.7339719970523214,0.7339719970523214
1.0426886017082706,1.0925304831523903,0.2,,baseline_rr_debias,1000,1000,,0.6161261442484668,0.24608937933665692,0.12322522884969336,1.3292965781403532,1.419847328244275,full,0.0010948029998871789,no_bias,no_bias,0,0,1.041378067171842,1.0560193457068945,0,1.3292965781403532,1.3292965781403532,1.4546673906816727,1.4546673906816727
0.28677049860058673,0.3857771625446713,0.2,,mrp_rr_poststrat,1000,1000,,0.07567722603082659,0.03783861457109451,0.015135445206165318,0.42834697592685045,0.5593479169943071,full,0.0029244150000522495,no_bias,no_bias,0,0,0.2689724988758564,0.3814645838141441,1,0.42834697592685045,0.42834697592685045,0.8036239942844539,0.8036239942844539
0.3367670759772709,0.4153234793337804,0.2,,mrp_misreport_rr_poststrat,1000,1000,,0.21364439327968668,0.07771788798390282,0.04272887865593734,0.4634301054533044,0.6332745201567137,full,0.00368451600024855,no_bias,no_bias,0,0,0.33144753578929054,0.4223268278091776,1,0.4634301054533044,0.4634301054533044,0.937246783198296,0.937246783198296
0.3459514071919567,0.41976469416011547,0.2,0.7999626252402563,mrp_learned_misreport_rr_poststrat,1000,1000,,0.231339392982146,0.08302836723203476,0.0462678785964292,0.4831621789132267,0.6441018745936996,full,0.00801187100023526,no_bias,no_bias,0,0,0.3421525545236922,0.4291007832505509,0,0.4831621789132267,0.4831621789132267,0.9509554592986704,0.9509554592986704
0.3168118950345094,0.41149637240058823,0.2,,neural_rr_mrp,1000,1000,1.608924388885498,0.19185755160442924,0.0636288995464834,0.03837151032088585,0.4322865184988227,0.6724815130671998,full,0.013386226999955397,no_bias,no_bias,0,0,0.3197089161094881,0.4143965927387426,0,0.4322865184988227,0.4322865184988227,0.7372381475976499,0.7372381475976499
0.36260030928885784,0.42888368135725013,0.5,,raw_reported_distribution,1000,1000,,0.21760000000000002,0.0962,0.04352,0.4698676627106051,0.656737278881852,full,0.0004984880001757119,no_bias,no_bias,0,0,0.3537305698901027,0.42185855124739896,0,0.4698676627106051,0.4698676627106051,1.029029793735676,1.029029793735676
